pk_reference_id,fk_ref_source_id,reference_authors,reference_year,chapter_article_title,volume,pages,data_source,verify
74,53,"Anderson, T.R.",1991,Yield of soybean cultivars differing in susceptibility to Phytophthora megasperma f. sp. glycinea on minimum tillage ridges,71,163-164,Martin,TRUE
75,53,"Anderson, T.R., Buzzell, R.I.",1986,"Distribution and severity of Stewart's bacterial wilt of dent corn in Ontario, 1985",66,23-25,Martin,TRUE
76,317,"Anderson, T.R., Buzzell, R.I.",1992,"Diversity and Frequency of Races of Phytophthora megasperma f. sp. glycinea in Soybean Fields in Essex County, Ontario, 1980-1989",76,587-589,Martin,TRUE
77,317,"Anderson, T.R., Welacky, T.W.",1983,Barn Mold of Burley Tobacco Caused by Botryosporium longibracheatum,67,1158-1159,Martin,TRUE
78,46,"Anderson, T.R., Welacky, T.W.",1988,Populations of Thielaviopsis basicola in burley tobacco field soils and the relationship between soil inoculum concentration and severity of disease on tobacco and soybean seedlings,10,246-251,Martin,TRUE
79,317,"Anderson, T.R., Welacky, T.W.",1988,"First Report of Heterodera glycines on Soybeans in Ontario, Canada",72,453,Martin,TRUE
80,53,"Anderson, T.R., Olechowski, H., Welacky, T.",1988,"Incidence of rhizoctonia and fusarium root rot of soybean in southwestern Ontario, 1986",68,143-145,Martin,TRUE
81,41,"Andrews, J.H.",1977,Observations on the pathology of seaweeds in the Pacific Northwest,55,1019-1027,Martin,TRUE
82,39,Anon,1939,Field crop and garden insects,17,225-298,Martin,TRUE
83,39,Anon,1943,Field crop and garden insects,21,132-149,Martin,TRUE
84,39,Anon,1946,Vegetable insects,24,329,Martin,TRUE
85,316,Anon,1947,,176,,Conners,TRUE
86,39,Anon,1947,General feeders and miscellanea,25,202-209,Martin,TRUE
87,39,Anon,1947,Vegetable insects,25,25-43,Martin,TRUE
88,39,Anon,1947,Insects affecting greenhouse and ornamental plants,25,341-343,Martin,TRUE
89,316,Anon,1948,,181,,Conners,TRUE
90,316,Anon,1949,,192,,Conners,TRUE
91,374,,1951,,,,Conners,TRUE
92,375,Anon,1952,,1951,,Conners,TRUE
93,375,Anon,1953,,1952,,Conners,TRUE
94,375,Anon,1954,,1953,,Conners,TRUE
95,375,Anon,1955,,1954,,Conners,TRUE
96,375,Anon,1956,,1955,,Conners,TRUE
97,375,Anon,1957,,1956,,Conners,TRUE
98,375,Anon,1958,,1957,,Conners,TRUE
99,375,Anon,1959,,1958,,Conners,TRUE
100,383,Anon,1960,,165,,Conners,TRUE
101,375,Anon,1960,,1959,,Conners,TRUE
102,53,Anon,1960,,40,,Conners,TRUE
103,385,Anon,1961,,,,Conners,TRUE
104,375,Anon,1961,,1960,,Conners,TRUE
105,375,Anon,1961,,1960,,Ginns,TRUE
106,386,Anon,1961,,263,,Conners,TRUE
107,53,Anon,1961,,41,,Conners,TRUE
108,375,Anon,1962,,1961,,Conners,TRUE
109,375,Anon,1962,,1961,,Ginns,TRUE
110,53,Anon,1962,,42,,Conners,TRUE
111,375,Anon,1963,,1962,,Conners,TRUE
112,375,Anon,1963,,1962,,Ginns,TRUE
113,53,Anon,1963,,43,,Conners,TRUE
114,375,Anon,1964,,1963,,Conners,TRUE
115,375,Anon,1964,,1963,,Ginns,TRUE
116,53,Anon,1964,,44,,Conners,TRUE
117,375,Anon,1965,,1964,,Ginns,TRUE
118,375,Anon,1966,,1965,,Ginns,TRUE
119,375,Anon,1967,,1966,,Ginns,TRUE
120,375,Anon,1968,,1967,,Ginns,TRUE
121,375,Anon,1969,,1968,,Ginns,TRUE
122,375,Anon,1970,,1969,,Ginns,TRUE
123,375,Anon,1971,,1970,,Ginns,TRUE
124,375,Anon,1972,,1971,,Ginns,TRUE
125,375,Anon,1973,,1972,,Ginns,TRUE
126,375,Anon,1974,,1973,,Ginns,TRUE
127,375,Anon,1975,,1974,,Ginns,TRUE
128,375,Anon,1977,,1975,,Ginns,TRUE
129,375,Anon,1979,,1976,,Ginns,TRUE
130,408,Anon,1981,,,,Martin,TRUE
131,409,Anon,1981,,1980,1,Martin,TRUE
132,410,Anon,1982,,,,Martin,TRUE
133,412,Anon,1982,,1981,,Martin,TRUE
134,411,Anon,1982,"Colletotrichum acutatum, a fungus disease new to North America",30,23,Martin,TRUE
135,413,Anon,1983,,,,Martin,TRUE
136,414,Anon,1983,,1982,1,Martin,TRUE
137,417,Anon,1984,,,,Martin,TRUE
138,415,Anon,1984,,,,Martin,TRUE
139,416,Anon,1984,,1983,1,Martin,TRUE
140,418,Anon,1985,,,,Martin,TRUE
141,420,Anon,1986,,1984,1,Martin,TRUE
142,419,Anon,1986,,,,Martin,TRUE
143,421,Anon,1987,,,,Martin,TRUE
144,422,Anon,1988,,,,Martin,TRUE
145,423,Anon,1989,,,,Martin,TRUE
146,424,Anon,1991,Dutch Elm Disease arrives in Saskatchewan,49,117,Martin,TRUE
147,425,Anon,1991,Importation of Potatoes from Canada,58,19789-19791,Martin,TRUE
148,426,"Moody, B.H.",1992,,,,Martin,TRUE
149,427,"Moody, B.H.",1993,,,,Martin,TRUE
150,428,Anon,1988,,1986,1,Martin,TRUE
151,429,Anon,1989,,1987,1,Martin,TRUE
152,430,Anon,,,,,Martin,TRUE
153,53,"Arcelin, R., Kushalappa, A.C.",1991,A survey of carrot diseases on muck soils in the southwestern part of Québec,71,147-153,Martin,TRUE
154,118,"Archambault, L.",1982,Impact du chancre hypoxylonien sur le tremble de 2 unités de gestion du Quebec,58,139-142,Martin,TRUE
155,286,"Arnold, G.R.W., Illman, W.I., White, G.P.",1988,A greenish grey species of Sympodiophora Arnold (Hyphomycetes),32,369-374,Martin,TRUE
156,41,"Arnold, R.H.",1967,,45,783-801,Ginns,TRUE
157,41,"Arnold, R.H.",1970,,48,1525-1540,Ginns,TRUE
158,41,"Arnold, R.H.",1971,,49,2187-2196,Ginns,TRUE
159,906,"Arnold, R.H.",1974,,17,,Ginns,TRUE
160,906,"Arnold, R.H.",1974,,30,,Ginns,TRUE
161,906,"Arnold, R.H.",1975,,70,,Ginns,TRUE
162,53,"Arnold, R.H., Straby, A.E.",1973,,53,183-186,Ginns,TRUE
163,281,"Arnold, R.H., Carter, J.C.",1974,,66,191-197,Ginns,TRUE
164,281,"Arnold, R.H., Russell, R.C.",1960,,52,499-512,Ginns,TRUE
165,281,"Arnold, R.H., Russell, R.C.",1960,,52,499-512,Conners,TRUE
166,43,"Arnott, J.T.",1974,,4,69-75,Ginns,TRUE
167,46,"Arny, D.C., Grau, C.R.",1985,Importance of verticillium wilt of alfalfa in North America,7,187-190,Martin,TRUE
168,363,"Arsenault, W.J., Kimpinski, J., Macleod, J.A.",1989,Root lesion nematodes and flue-cured tobacco yields in a rye-tobacco or soybean-tobacco crop sequence,33,72-73,Martin,TRUE
169,41,"Årsvoll, K., Smith, J.D.",1979,,56,348-364,Ginns,TRUE
170,319,"Arthur, J.C.",1911,,14,233-236,Conners,TRUE
171,434,"Arthur, J.C.",1907,Uredinales,7,83-969,Conners,TRUE
172,435,"Arthur, J.C.",1934,,,,Conners,TRUE
173,21,"Arx, J.",1970,,24,1-203,Ginns,TRUE
174,311,"Von Arx, J.A.",1957,,29,413-468,Conners,TRUE
175,436,"Von Arx, J.A.",1957,,51,1-153,Conners,TRUE
176,311,"Von Arx, J.A.",1958,,33,108-114,Conners,TRUE
177,311,"Von Arx, J.A.",1961,,42,161-165,Conners,TRUE
178,311,"Von Arx, J.A., Van Der Velden, F.J.J.A.",1961,,41,228-235,Conners,TRUE
179,317,"Asiedu, S.K., Raghavan, G.S.V., Gariepy, Y., Reeleder, R.",1986,Botrytis porri on leek in Canada,70,259,Martin,TRUE
180,313,"Asiedu, S.K., Viswanathan, M.A., Pelletier, R.L.",1977,Control of storage rot of potato,58,128,Martin,TRUE
181,53,"Assabgui, R., Hall, R.",1989,"Incidence and severity of blackleg in spring and winter rapeseed in Ontario, 1988",69,68,Martin,TRUE
182,46,"Assabgui, R., Hall, R.",1990,"Incidence, severity, and impact of blackleg in winter rapeseed in Ontario during 1988 and 1989",12,332,Martin,TRUE
183,313,"Asselin, A.",1984,A note on the induction of the streak disease in different tomato cultivars by tomato mosaic virus and potato virus X,65,81-83,Martin,TRUE
184,10,"Asuyama, H.",1938,,5,23-29,Conners,TRUE
185,312,"Athow, K.L., Bancroft, J.B.",1959,,49,697-701,Conners,TRUE
186,264,"Atkinson, G.F.",1905,,11,248-267,Ginns,TRUE
187,291,"Atkinson, J.D.",1935,,16,316-319,Conners,TRUE
188,292,"Atkinson, J.D., Robbins, R.E.",1951,,33(3),58-61,Conners,TRUE
189,50,"Atkinson, R.G.",1950,,"C, 28",288-317,Conners,TRUE
190,41,"Atkinson, R.G.",1953,,31,542-547,Conners,TRUE
191,53,"Atkinson, R.G., Trelawny, J.G.",1962,,42,151-154,Conners,TRUE
192,41,"Atkinson, R.G.",1961,,39,1531-1536,Ginns,TRUE
193,323,"Atkinson, R.G.",1965,,32,10,Ginns,TRUE
194,41,"Atkinson, R.G.",1965,,43,1471-1475,Ginns,TRUE
195,48,"Atkinson, R.G.",1965,,45,609-611,Ginns,TRUE
196,48,"Atkinson, R.G.",1970,,50,565-568,Ginns,TRUE
197,48,"Atkinson, R.G.",1980,,60,747-749,Ginns,TRUE
198,662,"Atkinson, R.G.",1982,Phytophthora root rot of ornamentals,27,19-22,Martin,TRUE
199,46,"Atkinson, R.G.",1982,Effect of fungicidal drenches on phytophthora root rot of Lawson cypress and of gerbera,4,180-183,Martin,TRUE
200,53,"Atkinson, R.G., Trelawny, J.G.",1962,,42,151-154,Ginns,TRUE
201,48,"Atkinson, R.G., Adamson, R.M.",1977,,57,675-680,Ginns,TRUE
202,53,"Atkinson, T.G., Slykhuis, J.T.",1963,,43,154-159,Conners,TRUE
203,53,"Atkinson, T.G., Grant, M.N.",1964,Development of Wheat Streak Mosaic in Southern Alberta during 1964,44,259-264,Martin,TRUE
204,312,"Atkinson, T.G., Grant, M.N.",1967,An Evaluation of Streak Mosaic Losses in Winter Wheat,57,188-192,Martin,TRUE
205,323,"Atkinson, T.G., Larson, R.I.",1975,Virus-vector considerations in utilizing sources of resistance to Wheat Streak Mosaic,42,26,Martin,TRUE
206,53,"Atkinson, T.G., Slykhuis, J.T.",1963,"Relation of spring drought, summer rains, and high fall temperatures to the Wheat Streak Mosaic epiphytotic in southern Alberta, 1963",43,154-159,Martin,TRUE
207,46,"Attwater, W.A., Busch, L.V.",1983,Role of the sap beetle Glischrochilus quadrisignatus in the epidemiology of gibberella corn ear rot,5,158-163,Martin,TRUE
208,313,"Aube, C.",1965,,46,123-124,Ginns,TRUE
209,53,"Aube, C.",1966,,46,11-13,Ginns,TRUE
210,53,"Aube, C.",1967,,47,25-27,Ginns,TRUE
211,48,"Aube, C.",1969,,49,737-742,Ginns,TRUE
212,315,"Aube, C., Deschenes, J.",1967,,51,573-577,Ginns,TRUE
213,323,"Aube, C., Sackston, W.E.",1963,,30,10,Ginns,TRUE
214,48,"Aube, C., Sackston, W.E.",1964,,44,427-432,Ginns,TRUE
215,313,"Aube, C., Sackston, W.E.",1964,,45,44,Ginns,TRUE
216,41,"Aube, C., Sackston, W.E.",1965,,43,1335-1342,Ginns,TRUE
217,313,"Aube, C., Sackston, W.E.",1966,,47,91,Ginns,TRUE
218,53,"Aubé, C.",1967,Prevalence of diseases of forage crops in Quebec,47,25-27,Martin,TRUE
219,313,"Audy, P., Parent, J.G., Asselin, A.",1991,A note on four nonradioactive labeling systems for dot hybridization detection of potato viruses,72,81-86,Martin,TRUE
220,312,"Axelrood, P.E., Fong, D., Radley, R.",1990,Incidence and pathogenicity of seedborne Fusarium on Douglas-fir (Pseudotsuga menziesii (Mirb.) Franco),80,1065,Martin,TRUE
221,312,"Axelrood, P.E., Chapman, W.K., Shrimpton, G.M., Trotter, D.B.",1992,Assessment of Cylindrocarpon and Fusarium root infection of Douglas-fir seedlings harvested from reforestation sites in S.W. British Columbia,82,1096,Martin,TRUE
222,42,"Ayer, W.A., Macaulay, J.B.",1987,"Metabolites of the honey mushroom, Armillaria mellea",65,7-14,Martin,TRUE
223,42,"Ayer, W.A., Villar, J.D.F.",1985,"Metabolites of Lachnellula fuscosanguinea (Rehm). Part I. The isolation, structure determination, and synthesis of lachnelluloic acid",63,1161-1165,Martin,TRUE
224,42,"Ayer, W.A., Kratochvil, B., Allen, E., Browne, L.M., et al.",1986,The chemistry of the bluestain fungi. Part 2. Some essential metal levels of diseased and healthy lodgepole pine,64,910-913,Martin,TRUE
225,42,"Ayer, W.A., Browne, L.M., Feng, M.C., Orszanska, H., et al.",1986,The chemistry of the bluestain fungi. Part 1. Some metabolites of Ceratocystis species associated with mountain pine beetle infected lodgepole pine,64,904-909,Martin,TRUE
226,42,"Ayer, W.A., Craw, P.A., Nozawa, K.",1991,"Two iH-naphtho(2,3-c)pyran-1-one metabolites from the fungus Paecilomyces variotii",69,189-191,Martin,TRUE
227,50,"Ayers, G.W.",1944,,22,143-149,Conners,TRUE
228,3,"Ayers, G.W.",1956,,33,249-254,Conners,TRUE
229,41,"Ayers, G.W.",1957,,35,923-932,Conners,TRUE
230,53,"Ayers, G.W.",1961,,41,170-171,Conners,TRUE
231,53,"Ayers, G.W.",1961,,41,172-173,Conners,TRUE
232,53,"Ayers, G.W.",1962,,42,115-117,Conners,TRUE
233,53,"Ayers, G.W.",1972,,52,77-81,Ginns,TRUE
234,3,"Ayers, G.W., Robinson, D.B.",1956,,33,1-5,Conners,TRUE
235,350,"Ayers, G.W., Hurst, R.R.",1939,,19,722-735,Conners,TRUE
236,53,"Ayers, G.W., Ramsay, G.C.",1961,,41,199-202,Ginns,TRUE
237,281,"Ayers, T.T.",1941,,33,130-135,Conners,TRUE
238,317,"Azzam, O.I., Gonsalves, D., Golino, D.A.",1991,Detection of dsRNA in Grapevines Showing Symptoms of Rupestris Stem Pitting Disease and the Variabilities Encountered,75,960-964,Martin,TRUE
239,281,"Baber, G.E.",1946,,38,630-638,Conners,TRUE
240,312,"Bagnall, R.H.",1960,,50,460-464,Conners,TRUE
241,115,"Bagnall, R.H., Mackinnon, J.P.",1960,,3,331-336,Conners,TRUE
242,312,"Bagnall, R.H.",1960,Potato Virus F latent in an imported variety and resistance to the virus in an interspecific potato hybrid,50,460-464,Martin,TRUE
243,46,"Bagnall, R.H.",1992,"Epidemiology of potato virus Y in New Brunswick, Canada; a biennial rhythm and a 9-plus year cycle",14,137-146,Martin,TRUE
244,3,"Bagnall, R.H., Bradley, R.H.E.",1955,,32,252,Conners,TRUE
245,312,"Bagnall, R.H., Bradley, R.H.E.",1958,,48,121-125,Conners,TRUE
246,438,"Bagnall, R.H., Larson, R.H., Walker, J.C.",1956,,198,,Conners,TRUE
247,50,"Bailey, D.L.",1950,,28,535-565,Conners,TRUE
248,350,"Bailey, D.L., Greaney, F.J.",1925,,7,113-117,Conners,TRUE
249,41,"Bailey, D.L., Lowther, R.L.",1962,,40,1095-1106,Conners,TRUE
250,46,"Bailey, K.L., Macneill, B.H.",1982,Survey of powdery mildew populations on winter wheat in southern Ontario,4,303,Martin,TRUE
251,46,"Bailey, K.L., Macneill, B.H.",1983,Virulence of Erysiphe graminis f.sp. tritici in southern Ontario in relation to vertical genes for resistance in winter wheat,5,148-153,Martin,TRUE
252,53,"Bailey, K.L., Duczek, L.J., Fernandez, M.R., Hughes, G.R., et al.",1992,"Saskatchewan Wheat Disease Survey, 1991",72,62-64,Martin,TRUE
253,53,"Bailey, K.L., Duczek, L.J., Berkenkamp, B., Kirkham, C., et al.",1991,"Saskatchewan Barley Disease Survey, 1990",71,61-62,Martin,TRUE
254,53,"Bailey, K.L., Duczek, L.J., Berkenkamp, B., Kirkham, C., et al.",1991,"Saskatchewan Wheat Disease Survey, 1990",71,73-74,Martin,TRUE
255,53,"Bailey, K.L., Duczek, L.J., Fernandez, M.R., et al.",1992,"Saskatchewan Barley Disease Survey, 1991",72,52-53,Martin,TRUE
256,39,"Baker, A.D.",1943,Plant parasitic nematodes in Canada in 1942,21,106,Martin,TRUE
257,39,"Baker, A.D.",1945,,23,140-153,Conners,TRUE
258,39,"Baker, A.D.",1951,Plant-parasitic nematodes,29,108-109,Martin,TRUE
259,39,"Baker, A.D.",1952,"Notes on some nematode problems, 1951",30,118-120,Martin,TRUE
260,39,"Baker, A.D.",1955,"Notes on some nematode problems, 1954",33,131-133,Martin,TRUE
261,39,"Baker, A.D.",1956,"Notes on nematodes in Canada, 1955",34,134-138,Martin,TRUE
262,39,"Baker, A.D.",1957,"Notes on some Nematodes in Canada, 1957",35,120-122,Martin,TRUE
263,39,"Baker, A.D.",1959,Some records of plant parasitic nematodes encountered in Canada in 1958,37,120-122,Martin,TRUE
264,39,"Baker, A.D.",1960,Some records of nematodes encountered in Canada on native and imported plant material.,38,107-111,Martin,TRUE
